rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
231,HBCV00006ARJLZ,Bubble Up,"Bubble Up Flora Dengeleyici Probiyotik Sprey - Toz, Akar, Kedi, Köpek ve Diğer Alerjenlere Hassas Kişilere %100 Doğal Seçenek",489,489,CT Biyoteknoloji A.Ş.,4.2,78,https://www.hepsiburada.com/bubble-up-flora-dengeleyici-sprey-pm-HBC00006ARJLY,supermarket-vitrini
232,HBCV0000AH0Q7D,Omo,Omo Leke Çıkarıcı Beyazlar 1l,194.9,206.92,Hepsiburada,4.8,124,https://www.hepsiburada.com/omo-leke-cikarici-beyazlar-1l-pm-HBC0000AH0Q7C,supermarket-vitrini
233,HBCV00009VSEH1,Domestos,Domestos Köpük Gücü 450 ml Derz Temizleyici Ters Kullanılabilir Şişe ile Zor Alanlarda Etkili Hijyen,111.9,118.99,Hepsiburada,4.4,150,https://www.hepsiburada.com/domestos-kopuk-gucu-derz-temizleyici-450-ml-pm-HBC00009VSEH0,supermarket-vitrini
234,HBCV00000SSMB5,Asperox,Asperox Mavi Güç Ultra Kireç ve Pas Sökücü 1000 ml Etkili Temizlik Ürünü Türkiye Menşeli,133.22,133.22,Hepsiburada,4.6,6105,https://www.hepsiburada.com/asperox-mavi-guc-ultra-kirec-ve-pas-sokucu-1000-ml-pm-HBC00000SSMB4,supermarket-vitrini
235,HBCV000016A8Z7,Yumoş,Yumoş Extra Konsantre Çamaşır Yumuşatıcı Amber 1440 ml 60 Yıkama,200.9,219,Hepsiburada,4.7,8321,https://www.hepsiburada.com/yumos-extra-konsantre-camasir-yumusatici-amber-1440-ml-60-yikama-pm-HBC000016A8Z6,supermarket-vitrini
236,HBCV0000F9CA0U,Air Wick,Air Wick Elektrikli Oda Kokusu Kit Yasemin Çiçeği,265.9,265.9,Hepsiburada,5,5,https://www.hepsiburada.com/air-wick-elektrikli-kit-oda-kokusu-yasemin-cicegi-pm-HBC0000F9CA0S,supermarket-vitrini
237,HBV00000CGMFI,Domestos,Domestos Tuvalet Bloğu 100 G Manolya Buketi Yoğun Parfüm ile Maksimum Hijyen Sağlar,135.9,143.17,Hepsiburada,4.7,676,https://www.hepsiburada.com/domestos-wc-blok-5-li-guc-tuvalet-blogu-manolya-ferahligi-maksimum-hijyen-100-g-pm-HB00000CGMFH,supermarket-vitrini
238,HBCV0000FKQIC0,Mis,Miss Sıvı Çamaşır Deterjanı Arap Sabunu & Soda Plus 3'lü Paket (3x1.5 Lt) Etkili Temizlik Gücü,648,651.7,MİS TEMİZLİK,4.5,51,https://www.hepsiburada.com/miss-sivi-camasir-deterjani-arap-sabunu-soda-plus-3-lu-paket-3x1-5-l-pm-HBC0000FKQIBW,supermarket-vitrini
239,ZYUNIL21002997,Cif,Cif Power & Shine Sprey Banyo İçin Temizleyici ve Kireç Çözücü 750 ML,135.9,146.92,Hepsiburada,4.6,1472,https://www.hepsiburada.com/cif-power-shine-sprey-banyo-icin-temizleyici-ve-kirec-cozucu-750-ml-pm-zyunil21002997,supermarket-vitrini
240,ZYHAYAT5012366,Bingo,"Bingo Fresh 2,5 Lt Yüzey Temizleyici Lavanta Çiçekleri Kokusuyla Etkili Temizlik Ürünü",235,235,ÖZAK TOPTAN,4.8,244,https://www.hepsiburada.com/bingo-fresh-yuzey-temizleyici-lavanta-cicekleri-2-5-l-pm-zyhayat5012366,supermarket-vitrini
241,ZYHEN652,Pril,Pril Ultra Güç Hijyen Limon Kokulu Soğuk Suda Etkili Elde Yıkama Sıvı Bulaşık Deterjanı 675 g,88.9,99,Hepsiburada,4.7,876,https://www.hepsiburada.com/pril-ultra-guc-hijyen-limon-kokulu-soguk-suda-etkili-elde-yikama-sivi-bulasik-deterjani-675-g-pm-zyhen652,supermarket-vitrini
242,HBCV00008E7Z6Y,Bayer,"Bayer K- Othrine Sc 50 ml Kokusuz, Karınca - Böcek- Sinek- Hamamböceği Ilacı",193,194,Böcek Hastanesi,4.5,690,https://www.hepsiburada.com/bayer-k-othrine-sc-50-ml-kokusuz-karinca-bocek-sinek-hamambocegi-ilaci-skt-06-2027-pm-HBC00008E7Z6X,supermarket-vitrini
243,HBCV0000GMY8GY,Bingo,Bingo Jetjel Koyu Renkler 1480 ml,230.9,242.17,Hepsiburada,5,2,https://www.hepsiburada.com/bingo-jetjel-koyu-renkler-1480-ml-pm-HBC0000GMY8GV,supermarket-vitrini
244,HBV0000009XF2,Domestos,Domestos Yoğun Kıvamlı Çamaşır Suyu Ultra Beyaz 3240 ml,230.9,239.92,Hepsiburada,4.8,7704,https://www.hepsiburada.com/domestos-yogun-kivamli-camasir-suyu-ultra-beyaz-3240-ml-pm-HB0000009XF1,supermarket-vitrini
245,ZYHEN1944815,Vernel,Vernel Gülün Büyüsü Sıvı Çamaşır Yumuşatıcısı 5L 50 Yıkama Kalıcı Gül Kokusu ile Yumuşatıcı,197.9,208.42,Hepsiburada,4.7,7404,https://www.hepsiburada.com/vernel-gulun-buyusu-sivi-camasir-yumusaticisi-5l-50-yikama-kalici-gul-kokusu-ile-yumusatici-pm-zyhen1944815,supermarket-vitrini
246,HBCV000056K40X,Ariel,Ariel ARİEL10 kg Beyazlar Için,393,393,HORON GLOBAL MARKET,4.1,18,https://www.hepsiburada.com/ariel-ariel10-kg-beyazlar-icin-pm-HBC000056K40W,supermarket-vitrini
247,HBCV0000HVREJD,Mr.Oxy,Mr.oxy Arap Sabunu Katkılı Çamaşır Sodası Lavanta Kokulu 500G,167,185,MELİS TEMİZLİK ÜRÜNLERİ,5,4,https://www.hepsiburada.com/mr-oxy-arap-sabunu-katkili-camasir-sodasi-lavanta-kokulu-500g-pm-HBC0000HVREJC,supermarket-vitrini
248,HBV00000ITUFX,Bingo,Bingo Matik Toz Çamaşır Deterjanı 4 kg Ultra Beyaz 2'li,524.99,524.99,Hayat,4.7,1820,https://www.hepsiburada.com/bingo-matik-toz-camasir-deterjani-4-kg-ultra-beyaz-2-li-pm-HB00000ITUFW,supermarket-vitrini
249,HBCV00008MUG6W,Dreame,Dreame Temizlik Solüsyonu 1000 ml,1499,1499,Dreame Türkiye,4.7,178,https://www.hepsiburada.com/dreame-temizlik-solusyonu-1000-ml-pm-HBC00008MUG6V,supermarket-vitrini
250,HBCV00008O2MM2,Siveno,Siveno %100 Doğal Bebek Çamaşır Sabunu Kendinden Yumuşatıcılı Bitkisel Deterjan Vegan 1000 ml,349.9,349.9,siveno,4.9,23,https://www.hepsiburada.com/siveno-100-dogal-baby-camasir-sabunu-1lt-pm-HBC00008O2MM1,supermarket-vitrini
251,HBCV000040S4TD,Domol,Domol Tuvalet Temizleyici Köpük Saf Temizlik 500 ml,152.9,152.9,polybotum,4.6,222,https://www.hepsiburada.com/domol-tuvalet-temizleyici-kopuk-saf-temizlik-500-ml-pm-HBC000040S4TC,supermarket-vitrini
252,HBCV00005Z03AZ,Missclean,Missclean Mandallı Mikrofiber Yer Yüzey Temizleme Mopu + 1 Adet Yedek Bez,299.9,299.9,Missclean,3.9,93,https://www.hepsiburada.com/missclean-mandalli-mikrofiber-yer-yuzey-temizleme-mopu-1-adet-yedek-bez-pm-HBC00005Z03AY,supermarket-vitrini
253,HBCV0000CXW58A,Bingo,Bingo 4 Lt Giysi Şampuanı 2in1 Kolay Ütü Makinede Yıkama Uygun Renkliler İçin Yüksek Performans,312.9,322.42,Hepsiburada,4.8,11,https://www.hepsiburada.com/bingo-giysi-sampuani-2in1-kolay-utu-4l-pm-HBC0000CXW589,supermarket-vitrini
254,HBCV00006DZ1FZ,The Elite Home,The Elite Home Doğal ve Vegan Sertifikalı Leke Çıkarıcı ve Çamaşır Suyu Tozu 1 kg *4 Adet,850,850,The Elite Home,4.6,160,https://www.hepsiburada.com/the-elite-home-dogal-ve-vegan-sertifikali-leke-cikarici-ve-camasir-suyu-tozu-1-kg-4-adet-pm-HBC00006DZ1FY,supermarket-vitrini
255,HBV000013T1YL,Silva,Silva Ultrafiber Premium Bulaşık Süngeri (12x8 cm),399,399,Silva,4.6,278,https://www.hepsiburada.com/silva-premium-bulasik-sungeri-10-cm-yuksek-emicilik-ve-ergonomik-tasarim-ile-guclu-temizlik-pm-HB000013T1YK,supermarket-vitrini
256,HBV00000MJF7U,Bingo,Bingo Renkli Sıvı Bakım Çamaşır Deterjanı 4 lt 2'li,618.99,618.99,Hayat,4.6,1597,https://www.hepsiburada.com/bingo-renkli-sivi-bakim-camasir-deterjani-4-lt-2-li-pm-HB00000MJF7T,supermarket-vitrini
257,HBCV00001XVZUX,Chrysamed,"Chrysamed  Max 500  ml Böcek Haşere  Tahtakurusu, Karınca, Akrep, Kene, Örümcek, Hamamböceği, Karasinek Böcek Haşere İlacı",198,266,vitamanya,4.2,211,https://www.hepsiburada.com/chrysamed-max-500-ml-bocek-tahtakurusu-karinca-akrep-kene-orumcek-hamambocegi-karasinek-pm-HBC00001XVZUW,supermarket-vitrini
258,HBCV0000F99RVC,Air Wick,Air Wick Elektrikli Kit Oda Kokusu Büyülü Vanilya,265.9,265.9,Hepsiburada,5,14,https://www.hepsiburada.com/air-wick-elektrikli-kit-oda-kokusu-buyulu-vanilya-pm-HBC0000F99RVB,supermarket-vitrini
259,HBCV00003VU89N,Sleepy,Sleepy Premium Brown Care Serisi Glütensiz Sıvı Sabun 2x1500 ml Tüm Ciltler İçin Doğal Temizlik,452,452,Sleepy,4.7,280,https://www.hepsiburada.com/sleepy-premium-brown-care-serisi-sivi-sabun-2x1500-ml-pm-HBC00003VU89M,supermarket-vitrini
