rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
47,HBV00000RFTB7,Prima,Prima PremiumCare Bebek Bezi Ekonomik Paket 2 Numara 60 Adet Bez,503.99,895.99,ebebek,4.8,6905,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-ekonomik-paket-2-numara-60-adet-bez-p-HBV00000RFTB7,anne-bebek-vitrini
48,HBCV0000E6VF4M,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Ultra Paket Bebek Bezi 5 Numara Junior 160 Adet,1029.6,1029.6,defnebebek,4.4,111,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-ultra-paket-bebek-bezi-5-numara-junior-160-adet-p-HBCV0000E6VF4M,anne-bebek-vitrini
49,HBCV0000E5RLVT,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Bebek Bezi 4 Numara Maxi 104 Adet,810,810,Sleepy,4.3,122,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-bebek-bezi-4-numara-maxi-104-adet-p-HBCV0000E5RLVT,anne-bebek-vitrini
50,HBCV0000E6V4F4,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Bebek Bezi 6 Numara Xlarge 64 Adet,810,810,Sleepy,4.3,122,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-bebek-bezi-6-numara-xlarge-64-adet-p-HBCV0000E6V4F4,anne-bebek-vitrini
51,HBCV0000DF0WUX,Sleepy,Sleepy Natural Double Soft Ultra Paket Külot Bez 5 Numara Junior 78 Adet,657,657,Sleepy,4,76,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-paket-kulot-bez-5-numara-junior-78-adet-p-HBCV0000DF0WUX,anne-bebek-vitrini
52,HBCV0000DF1ZAH,Baby Turco,Baby Turco Doğadan Süper Avantaj Paketi Pofuduk Bebek Bezi 6 Numara Xlarge 124 Adet,700,700,defnebebek,4.6,114,https://www.hepsiburada.com/baby-turco-dogadan-super-avantaj-paketi-pofuduk-bebek-bezi-6-numara-xlarge-124-adet-p-HBCV0000DF1ZAH,anne-bebek-vitrini
53,HBCV0000DF1ZZ7,Baby Turco,Baby Turco Doğadan Avantaj Paketi Pofuduk Bebek Bezi 6 Numara Xlarge 62 Adet,419.99,559.99,ebebek,4.4,146,https://www.hepsiburada.com/baby-turco-dogadan-avantaj-paketi-pofuduk-bebek-bezi-6-numara-xlarge-62-adet-p-HBCV0000DF1ZZ7,anne-bebek-vitrini
54,HBCV0000E6VJZB,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Bebek Bezi 2 Numara Mini 136 Adet,699.9,699.9,Online Market,4.3,122,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-bebek-bezi-2-numara-mini-136-adet-p-HBCV0000E6VJZB,anne-bebek-vitrini
55,HBCV0000C84XYC,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Bebek Bezi 4 Numara Maxi 200 Adet,1227,1227,Sleepy,4.2,654,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-bebek-bezi-4-numara-maxi-200-adet-p-HBCV0000C84XYC,anne-bebek-vitrini
56,HBCV0000DBZW08,Molfix,Molfix Kanal Teknolojisi Dev Avantaj Paketi 4+ Beden Maxi Plus 84 Adet,739.99,739.99,Hayat,4.2,51,https://www.hepsiburada.com/molfix-kanal-teknolojisi-dev-avantaj-paketi-4-beden-maxi-plus-84-adet-pm-HBC0000DBZW07,anne-bebek-vitrini
57,HBCV00006WD3MZ,Molfix,Molfix Premium Süper Fırsat Paketi 3 Beden 120 Adet,891.99,891.99,Hayat,4.3,260,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-3-beden-120-adet-pm-HBC00006WD3MY,anne-bebek-vitrini
58,HBCV0000E6VGK6,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Ultra Paket Bebek Bezi 6 Numara Xlarge 128 Adet,1029.6,1029.6,defnebebek,4.4,111,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-ultra-paket-bebek-bezi-6-numara-xlarge-128-adet-p-HBCV0000E6VGK6,anne-bebek-vitrini
59,HBCV0000GVUVAB,Molfix,Molfix Tatlı Rüyalar Bebek Bezi Junior 58 Adet,689,689,Ekstremarkt,3,2,https://www.hepsiburada.com/molfix-gece-bebek-bezi-junior-58-adet-pm-HBC0000GVUVA3,anne-bebek-vitrini
60,HBCV00006WD231,Molfix,Molfix Premium Mega Avantaj Paketi 5 Beden 264 Adet,1907.99,1907.99,Hayat,4.4,220,https://www.hepsiburada.com/molfix-premium-mega-avantaj-paketi-5-beden-264-adet-pm-HBC00006WD230,anne-bebek-vitrini
61,HBV00000GD85U,Prima,Prima PremiumCare Bebek Bezi Ultra Fırsat Paket 5 Numara 74 Adet Bez,1319.9,1319.9,Hepsiburada,4.8,2951,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-ultra-firsat-paket-5-numara-74-adet-bez-p-HBV00000GD85U,anne-bebek-vitrini
62,HBCV0000DF1X4M,Baby Turco,Baby Turco Doğadan Süper Avantaj Paketi Pofuduk Bebek Bezi 5 Numara Junior 156 Adet,700,700,defnebebek,4.6,114,https://www.hepsiburada.com/baby-turco-dogadan-super-avantaj-paketi-pofuduk-bebek-bezi-5-numara-junior-156-adet-p-HBCV0000DF1X4M,anne-bebek-vitrini
63,HBCV00006WD1G7,Molfix,Molfix Premium Avantajlı Paket 4 Beden 172 Adet,1006.99,1006.99,Hayat,4.2,159,https://www.hepsiburada.com/molfix-premium-avantajli-paket-4-beden-172-adet-pm-HBC00006WD1G6,anne-bebek-vitrini
64,HBCV0000DV2L37,Sleepy,Sleepy Natural Double Soft Avantajlı Mega Paket Bebek Bezi 5 Numara Junior 96 Adet,755,755,Sleepy,4.4,88,https://www.hepsiburada.com/sleepy-natural-double-soft-avantajli-mega-paket-bebek-bezi-5-numara-junior-96-adet-p-HBCV0000DV2L37,anne-bebek-vitrini
65,HBCV0000ED4OMA,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Külot Bez 5 Numara Junior 80 Adet,810,810,Sleepy,4.3,41,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-kulot-bez-5-numara-junior-80-adet-p-HBCV0000ED4OMA,anne-bebek-vitrini
66,HBCV0000C846WA,Sleepy,Sleepy Natural Double Soft Ultra Paket Bebek Bezi 6 Numara Xlarge 62 Adet,657,657,Sleepy,4.4,329,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-paket-bebek-bezi-6-numara-xlarge-62-adet-p-HBCV0000C846WA,anne-bebek-vitrini
67,HBCV0000E6V555,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Ultra Paket Bebek Bezi 7 Numara Xxlarge 112 Adet,1029.6,1029.6,defnebebek,4.4,111,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-ultra-paket-bebek-bezi-7-numara-xxlarge-112-adet-p-HBCV0000E6V555,anne-bebek-vitrini
68,HBV00000RFTBB,Prima,Prima PremiumCare Bebek Bezi Ultra Fırsat Paketi 3 Numara 96 Adet Bez,856.79,1454.88,ebebek,4.8,2951,https://www.hepsiburada.com/prima-premiumcare-bebek-bezi-ultra-firsat-paketi-3-numara-96-adet-bez-p-HBV00000RFTBB,anne-bebek-vitrini
69,HBCV00005ACZPQ,Molfix,Molfix Pure & Soft Bebek Bezi 4 Beden Maxi 172 Adet,1059.99,1059.99,Hayat,4.6,762,https://www.hepsiburada.com/molfix-pure-soft-bebek-bezi-4-beden-maxi-172-adet-pm-HBC00005ACZPP,anne-bebek-vitrini
70,HBCV00004PEYSY,Molfix,Molfix Pants Bebek Bezi 7 Beden XXL Aylık Fırsat Paketi 81 Adet,917.99,917.99,Hayat,4.3,206,https://www.hepsiburada.com/molfix-pants-bebek-bezi-7-beden-xxl-aylik-avantaj-paketi-81-adet-pm-HBC00004PEYSX,anne-bebek-vitrini
71,HBCV0000DEZ41B,Baby Turco,Baby Turco Doğadan Avantaj Paketi Pofuduk Bebek Bezi 4 Numara Maxi 100 Adet,419.99,559.99,ebebek,4.4,146,https://www.hepsiburada.com/baby-turco-dogadan-avantaj-paketi-pofuduk-bebek-bezi-4-numara-maxi-100-adet-p-HBCV0000DEZ41B,anne-bebek-vitrini
72,HBCV00006WD7Q7,Molfix,Molfix Premium Ultra Fırsat Paketi 6 Beden 54 Adet,604.99,604.99,Rammar,3.9,282,https://www.hepsiburada.com/molfix-premium-ultra-firsat-paketi-6-beden-54-adet-pm-HBC00006WD7Q6,anne-bebek-vitrini
73,HBCV00006WD2FP,Molfix,Molfix Premium Süper Fırsat Paketi 6 Beden 68 Adet,891.99,891.99,Hayat,4.5,182,https://www.hepsiburada.com/molfix-super-firsat-paketi-6-beden-68-adet-pm-HBC00006WD2FO,anne-bebek-vitrini
74,HBCV0000DF0WV1,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Külot Bez 6 Numara Xlarge 124 Adet,1227,1227,Sleepy,3.8,110,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-firsat-paketi-kulot-bez-6-numara-xlarge-124-adet-p-HBCV0000DF0WV1,anne-bebek-vitrini
75,HBV00000QUV4H,Prima,Prima Aktif Bebek Mega Fırsat Paketi 4 Beden 104 Adet,1102.9,1102.9,Hepsiburada,4.8,21242,https://www.hepsiburada.com/prima-aktif-bebek-mega-firsat-paketi-4-beden-104-adet-p-HBV00000QUV4H,anne-bebek-vitrini
76,HBCV0000G8BRDC,Molfix,Molfix Kanal Teknolojisi Mega Paket 5 Beden Junior 200 Adet,1290.99,1290.99,Hayat,1.7,6,https://www.hepsiburada.com/molfix-kanal-teknolojisi-mega-paket-5-beden-junior-200-adet-pm-HBC0000G8BRD9,anne-bebek-vitrini
77,HBCV0000DMHX0B,Sleepy,Sleepy Natural Double Soft Ultra Fırsat Paketi Külot Bez 7 Numara Xxlarge 96 Adet,800,920,defnebebek,3.9,41,https://www.hepsiburada.com/sleepy-natural-double-soft-ultra-paket-kulot-bez-7-numara-xxlarge-96-adet-pm-HBC0000DMHX0A,anne-bebek-vitrini
78,HBCV00006WD3BT,Molfix,Molfix Premium Fırsat Paketi 1 Beden 72 Adet,376.31,423.35,ebebek,4.1,270,https://www.hepsiburada.com/molfix-premium-firsat-paketi-1-beden-72-adet-pm-HBC00006WD3BS,anne-bebek-vitrini
79,HBCV0000ED4ISF,Sleepy,Sleepy Bio Natural Premium Plus Airbag Comfort Avantaj Paketi Külot Bez 6 Numara Xlarge 64 Adet,810,810,Sleepy,4.3,41,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-airbag-comfort-avantaj-paketi-kulot-bez-6-numara-xlarge-64-adet-p-HBCV0000ED4ISF,anne-bebek-vitrini
80,HBCV00006WD1G5,Molfix,Molfix Premium Süper Fırsat Paketi 2 Beden 140 Adet,754.99,754.99,Happycomtr,4.2,166,https://www.hepsiburada.com/molfix-premium-super-firsat-paketi-2-beden-140-adet-pm-HBC00006WD1G4,anne-bebek-vitrini
81,HBCV0000C84QVW,Sleepy,Sleepy Natural Double Soft Mega Fırsat Paketi Bebek Bezi 3 Numara Midi 168 Adet,1057,1057,Sleepy,4.6,128,https://www.hepsiburada.com/sleepy-natural-double-soft-mega-firsat-paketi-bebek-bezi-3-numara-midi-168-adet-p-HBCV0000C84QVW,anne-bebek-vitrini
82,HBCV0000611G5Y,Sleepy,Sleepy Bio Natural Premium Plus 2'li Fırsat Paketi Bebek Bezi 4 Numara Maxi 82 Adet,367,367,Sleepy,4.5,80,https://www.hepsiburada.com/sleepy-bio-natural-premium-plus-2-li-firsat-paketi-bebek-bezi-4-numara-maxi-82-adet-pm-HBC0000611G5X,anne-bebek-vitrini
83,HBCV0000GVTZUL,Molfix,Molfix Tatlı Rüyalar Bebek Bezi Maxi 76 Adet,468.9,487.42,Hepsiburada,2,1,https://www.hepsiburada.com/molfix-gece-bebek-bezi-maxi-76-adet-pm-HBC0000GVTZUC,anne-bebek-vitrini
84,HBV00000PQBFZ,Sleepy,Sleepy Natural Gross Paket Külot Bez 4 Numara Maxi 100 Adet,380,399.99,ZORSAM E-Ticaret,4.7,12042,https://www.hepsiburada.com/sleepy-natural-gross-paket-kulot-bez-4-numara-maxi-100-adet-p-HBV00000PQBFZ,anne-bebek-vitrini
85,HBCV0000DF1VEM,Baby Turco,Baby Turco Doğadan Avantaj Paketi Pofuduk Bebek Bezi 7 Numara Xxlarge 48 Adet,419.99,559.99,ebebek,4.4,146,https://www.hepsiburada.com/baby-turco-dogadan-avantaj-paketi-pofuduk-bebek-bezi-7-numara-xxlarge-48-adet-p-HBCV0000DF1VEM,anne-bebek-vitrini
