rank,sku,brand,title,price,original_price,merchant,rating,review_count,url,source_segment
199,HBCV00006IF7S6,Muggo,Muggo Jabbar Unisex Ortopedik Günlük Garantili Bağcıklı Yürüyüş Koşu Sneaker Spor Ayakkabı,1388.61,1388.61,MUGGO,3.7,341,https://www.hepsiburada.com/muggo-jabbar-unisex-ortopedik-gunluk-garantili-bagcikli-yuruyus-kosu-sneaker-spor-ayakkabi-p-HBCV00006IF7S6,moda-vitrini
200,HBCV00007IIKVK,Muggo,Muggo Jabbar Unisex Ortopedik Günlük Garantili Bağcıklı Yürüyüş Koşu Sneaker Spor Ayakkabı,1388.61,1388.61,,3.7,341,https://www.hepsiburada.com/muggo-jabbar-unisex-ortopedik-gunluk-garantili-bagcikli-yuruyus-kosu-sneaker-spor-ayakkabi-p-HBCV00007IIKVK,moda-vitrini
201,HBCV00007IIIIT,Muggo,Muggo Jabbar Unisex Ortopedik Günlük Garantili Bağcıklı Yürüyüş Koşu Sneaker Spor Ayakkabı,1388.61,1388.61,,3.7,341,https://www.hepsiburada.com/muggo-jabbar-unisex-ortopedik-gunluk-garantili-bagcikli-yuruyus-kosu-sneaker-spor-ayakkabi-p-HBCV00007IIIIT,moda-vitrini
202,HBCV00006IF8CC,Muggo,Muggo Jabbar Unisex Ortopedik Günlük Garantili Bağcıklı Yürüyüş Koşu Sneaker Spor Ayakkabı,1388.61,1388.61,,3.7,341,https://www.hepsiburada.com/muggo-jabbar-unisex-ortopedik-gunluk-garantili-bagcikli-yuruyus-kosu-sneaker-spor-ayakkabi-p-HBCV00006IF8CC,moda-vitrini
203,HBCV00006IF7P3,Muggo,Muggo Jabbar Unisex Ortopedik Günlük Garantili Bağcıklı Yürüyüş Koşu Sneaker Spor Ayakkabı,1388.61,1388.61,,3.7,341,https://www.hepsiburada.com/muggo-jabbar-unisex-ortopedik-gunluk-garantili-bagcikli-yuruyus-kosu-sneaker-spor-ayakkabi-p-HBCV00006IF7P3,moda-vitrini
204,HBCV00005I2QI7,U.S. Polo Assn.,U.S. Polo Assn. Franco 3pr Anatomik Orijinal Ürün Rahat Unisex Sneaker Ayakkabı,738,738,5n spor,3.9,34,https://www.hepsiburada.com/u-s-polo-assn-franco-3pr-anatomik-orijinal-urun-rahat-unisex-sneaker-ayakkabi-p-HBCV00005I2QI7,moda-vitrini
205,HBCV00005I2QHW,U.S. Polo Assn.,U.S. Polo Assn. Franco 3pr Anatomik Orijinal Ürün Rahat Unisex Sneaker Ayakkabı,830,830,,3.9,34,https://www.hepsiburada.com/u-s-polo-assn-franco-3pr-anatomik-orijinal-urun-rahat-unisex-sneaker-ayakkabi-p-HBCV00005I2QHW,moda-vitrini
206,HBCV00005I2QI1,U.S. Polo Assn.,U.S. Polo Assn. Franco 3pr Anatomik Orijinal Ürün Rahat Unisex Sneaker Ayakkabı,767,767,,3.9,34,https://www.hepsiburada.com/u-s-polo-assn-franco-3pr-anatomik-orijinal-urun-rahat-unisex-sneaker-ayakkabi-p-HBCV00005I2QI1,moda-vitrini
207,HBV000007ZTQB,Converse,Converse Chuck Taylor All Star Hi Unisex Siyah Sneaker.001,4999,4999,Sporjinal,4.6,120,https://www.hepsiburada.com/converse-chuck-taylor-all-star-hi-unisex-siyah-sneaker-001-p-HBV000007ZTQB,moda-vitrini
208,HBCV0000GHHD4I,Converse,Converse Chuck Taylor All Star Erkek Günlük Ayakkabı,3999.99,3999.99,,4.6,120,https://www.hepsiburada.com/converse-chuck-taylor-all-star-erkek-gunluk-ayakkabi-p-HBCV0000GHHD4I,moda-vitrini
